file,code,indiv_per_volume,Individuals per ml,mean density
sample_00001,pau,1.347151163,39.16137101,39.34136696
sample_00002,pau,3.568372093,103.7317469,
sample_00003,pau,0.913430233,26.55320443,
sample_00004,pau,0.889302326,25.85181179,
sample_00005,pau,0.624476744,18.15339373,
sample_00006,pau,0.777325581,22.59667388,
sample_00007,spi,0.845465116,24.57747431,39.03038805
sample_00008,spi,1.440639535,41.87905625,
sample_00009,spi,1.354767442,39.38277447,
sample_00010,spi,1.510523256,43.91055976,
sample_00011,spi,1.508895349,43.86323688,
sample_00012,spi,1.395581395,40.56922661,
sample_00013,rot,3.917965116,113.8943348,78.52499099
sample_00014,rot,2.88505814,83.86796917,
sample_00015,rot,3.118488372,90.65373175,
sample_00016,rot,2.021453488,58.7631828,
sample_00017,rot,1.709186047,49.68564089,
sample_00018,rot,2.555406977,74.28508653,
sample_00019,tet,3.210755814,93.33592482,99.78254011
sample_00020,tet,2.542848837,73.92002434,
sample_00021,tet,3.564883721,103.6303407,
sample_00022,tet,3.305,96.0755814,
sample_00023,tet,4.083139535,118.6959167,
sample_00024,tet,3.888488372,113.0374527,
sample_00025,eug,24.08377907,700.1098567,587.9230891
sample_00026,eug,23.57674419,685.3704705,
sample_00027,eug,20.66267442,600.6591401,
sample_00028,eug,20.38186047,592.4959438,
sample_00029,eug,17.29389535,502.729516,
sample_00030,eug,15.34837209,446.1736074,
sample_00031,eup,0.786162791,22.8535695,17.44045205
sample_00032,eup,0.809244186,23.52454029,
sample_00033,eup,0.558023256,16.22160627,
sample_00034,eup,0.374011628,10.87243104,
sample_00035,eup,0.39877907,11.59241482,
sample_00036,eup,0.673488372,19.57815035,
sample_00037,col,5.438023256,158.0820714,134.6969646
sample_00038,col,5.39255814,156.760411,
sample_00039,col,4.28,124.4186047,
sample_00040,col,4.292034884,124.7684559,
sample_00041,col,4.088837209,118.8615468,
sample_00042,col,4.31,125.2906977,