temporal_change,dispersal,replicate,time,predicted_species,environment_1,community,N
no,no dispersal,6,4,col,dark,polyculture,18
no,no dispersal,6,4,col,light,polyculture,80
no,no dispersal,6,4,eug,dark,polyculture,1
no,no dispersal,6,4,eug,light,polyculture,361
no,no dispersal,6,4,eup,dark,polyculture,8
no,no dispersal,6,4,eup,light,polyculture,7
no,no dispersal,6,4,pau,dark,polyculture,1
no,no dispersal,6,4,pau,light,polyculture,2
no,no dispersal,6,4,rot,dark,polyculture,3
no,no dispersal,6,4,rot,light,polyculture,5
no,no dispersal,6,4,spi,dark,polyculture,0
no,no dispersal,6,4,spi,light,polyculture,0
no,no dispersal,6,4,tet,dark,polyculture,3
no,no dispersal,6,4,tet,light,polyculture,2
no,dispersal,1,1,col,dark,monoculture,58
no,dispersal,1,1,col,dark,polyculture,24
no,dispersal,1,1,col,light,monoculture,245
no,dispersal,1,1,col,light,polyculture,5
no,dispersal,1,1,eug,dark,monoculture,1090
no,dispersal,1,1,eug,dark,polyculture,25
no,dispersal,1,1,eug,light,monoculture,4176
no,dispersal,1,1,eug,light,polyculture,34
no,dispersal,1,1,eup,dark,monoculture,29
no,dispersal,1,1,eup,dark,polyculture,0
no,dispersal,1,1,eup,light,monoculture,72
no,dispersal,1,1,eup,light,polyculture,2
no,dispersal,1,1,pau,dark,monoculture,47
no,dispersal,1,1,pau,dark,polyculture,3
no,dispersal,1,1,pau,light,monoculture,108
no,dispersal,1,1,pau,light,polyculture,0
no,dispersal,1,1,rot,dark,monoculture,207
no,dispersal,1,1,rot,dark,polyculture,13
no,dispersal,1,1,rot,light,monoculture,173
no,dispersal,1,1,rot,light,polyculture,3
no,dispersal,1,1,spi,dark,monoculture,63
no,dispersal,1,1,spi,dark,polyculture,3
no,dispersal,1,1,spi,light,monoculture,18
no,dispersal,1,1,spi,light,polyculture,1
no,dispersal,1,1,tet,dark,monoculture,194
no,dispersal,1,1,tet,dark,polyculture,33
no,dispersal,1,1,tet,light,monoculture,99
no,dispersal,1,1,tet,light,polyculture,28
no,dispersal,1,2,col,dark,monoculture,339
no,dispersal,1,2,col,dark,polyculture,24
no,dispersal,1,2,col,light,monoculture,65
no,dispersal,1,2,col,light,polyculture,66
no,dispersal,1,2,eug,dark,monoculture,567
no,dispersal,1,2,eug,dark,polyculture,20
no,dispersal,1,2,eug,light,monoculture,3135
no,dispersal,1,2,eug,light,polyculture,38
no,dispersal,1,2,eup,dark,monoculture,47
no,dispersal,1,2,eup,dark,polyculture,7
no,dispersal,1,2,eup,light,monoculture,222
no,dispersal,1,2,eup,light,polyculture,4
no,dispersal,1,2,pau,dark,monoculture,89
no,dispersal,1,2,pau,dark,polyculture,5
no,dispersal,1,2,pau,light,monoculture,66
no,dispersal,1,2,pau,light,polyculture,39
no,dispersal,1,2,rot,dark,monoculture,108
no,dispersal,1,2,rot,dark,polyculture,6
no,dispersal,1,2,rot,light,monoculture,150
no,dispersal,1,2,rot,light,polyculture,11
no,dispersal,1,2,spi,dark,monoculture,42
no,dispersal,1,2,spi,dark,polyculture,1
no,dispersal,1,2,spi,light,monoculture,19
no,dispersal,1,2,spi,light,polyculture,1
no,dispersal,1,2,tet,dark,monoculture,401
no,dispersal,1,2,tet,dark,polyculture,4
no,dispersal,1,2,tet,light,monoculture,101
no,dispersal,1,2,tet,light,polyculture,11
no,dispersal,1,3,col,dark,monoculture,142
no,dispersal,1,3,col,dark,polyculture,71
no,dispersal,1,3,col,light,monoculture,71
no,dispersal,1,3,col,light,polyculture,20
no,dispersal,1,3,eug,dark,monoculture,124
no,dispersal,1,3,eug,dark,polyculture,9
no,dispersal,1,3,eug,light,monoculture,870
no,dispersal,1,3,eug,light,polyculture,40
no,dispersal,1,3,eup,dark,monoculture,63
no,dispersal,1,3,eup,dark,polyculture,27
no,dispersal,1,3,eup,light,monoculture,89
no,dispersal,1,3,eup,light,polyculture,2
no,dispersal,1,3,pau,dark,monoculture,33
no,dispersal,1,3,pau,dark,polyculture,8
no,dispersal,1,3,pau,light,monoculture,2
no,dispersal,1,3,pau,light,polyculture,4
no,dispersal,1,3,rot,dark,monoculture,72
no,dispersal,1,3,rot,dark,polyculture,1
no,dispersal,1,3,rot,light,monoculture,669
no,dispersal,1,3,rot,light,polyculture,0
no,dispersal,1,3,spi,dark,monoculture,32
no,dispersal,1,3,spi,dark,polyculture,0
no,dispersal,1,3,spi,light,monoculture,14
no,dispersal,1,3,spi,light,polyculture,0
no,dispersal,1,3,tet,dark,monoculture,109
no,dispersal,1,3,tet,dark,polyculture,0
no,dispersal,1,3,tet,light,monoculture,244
no,dispersal,1,3,tet,light,polyculture,1
no,dispersal,1,4,col,dark,monoculture,234
no,dispersal,1,4,col,dark,polyculture,84
no,dispersal,1,4,col,light,monoculture,54
no,dispersal,1,4,col,light,polyculture,30
no,dispersal,1,4,eug,dark,monoculture,475
no,dispersal,1,4,eug,dark,polyculture,0
no,dispersal,1,4,eug,light,monoculture,298
no,dispersal,1,4,eug,light,polyculture,79
no,dispersal,1,4,eup,dark,monoculture,51
no,dispersal,1,4,eup,dark,polyculture,13
no,dispersal,1,4,eup,light,monoculture,40
no,dispersal,1,4,eup,light,polyculture,1
no,dispersal,1,4,pau,dark,monoculture,4
no,dispersal,1,4,pau,dark,polyculture,11
no,dispersal,1,4,pau,light,monoculture,5
no,dispersal,1,4,pau,light,polyculture,0
no,dispersal,1,4,rot,dark,monoculture,103
no,dispersal,1,4,rot,dark,polyculture,0
no,dispersal,1,4,rot,light,monoculture,100
no,dispersal,1,4,rot,light,polyculture,5
no,dispersal,1,4,spi,dark,monoculture,22
no,dispersal,1,4,spi,dark,polyculture,0
no,dispersal,1,4,spi,light,monoculture,5
no,dispersal,1,4,spi,light,polyculture,0
no,dispersal,1,4,tet,dark,monoculture,300
no,dispersal,1,4,tet,dark,polyculture,6
no,dispersal,1,4,tet,light,monoculture,32
no,dispersal,1,4,tet,light,polyculture,2
no,dispersal,2,1,col,dark,monoculture,234
no,dispersal,2,1,col,dark,polyculture,49
no,dispersal,2,1,col,light,monoculture,200
no,dispersal,2,1,col,light,polyculture,19
no,dispersal,2,1,eug,dark,monoculture,162
no,dispersal,2,1,eug,dark,polyculture,21
no,dispersal,2,1,eug,light,monoculture,6159
no,dispersal,2,1,eug,light,polyculture,167
no,dispersal,2,1,eup,dark,monoculture,78
no,dispersal,2,1,eup,dark,polyculture,15
no,dispersal,2,1,eup,light,monoculture,19
no,dispersal,2,1,eup,light,polyculture,0
no,dispersal,2,1,pau,dark,monoculture,69
no,dispersal,2,1,pau,dark,polyculture,2
no,dispersal,2,1,pau,light,monoculture,11
no,dispersal,2,1,pau,light,polyculture,5
no,dispersal,2,1,rot,dark,monoculture,488
no,dispersal,2,1,rot,dark,polyculture,5
no,dispersal,2,1,rot,light,monoculture,114
no,dispersal,2,1,rot,light,polyculture,12
no,dispersal,2,1,spi,dark,monoculture,50
no,dispersal,2,1,spi,dark,polyculture,1
no,dispersal,2,1,spi,light,monoculture,3
no,dispersal,2,1,spi,light,polyculture,0
no,dispersal,2,1,tet,dark,monoculture,134
no,dispersal,2,1,tet,dark,polyculture,25
no,dispersal,2,1,tet,light,monoculture,54
no,dispersal,2,1,tet,light,polyculture,52
no,dispersal,2,2,col,dark,monoculture,357
no,dispersal,2,2,col,dark,polyculture,43
no,dispersal,2,2,col,light,monoculture,31
no,dispersal,2,2,col,light,polyculture,53
no,dispersal,2,2,eug,dark,monoculture,397
no,dispersal,2,2,eug,dark,polyculture,4
no,dispersal,2,2,eug,light,monoculture,5586
no,dispersal,2,2,eug,light,polyculture,27
no,dispersal,2,2,eup,dark,monoculture,62
no,dispersal,2,2,eup,dark,polyculture,13
no,dispersal,2,2,eup,light,monoculture,66
no,dispersal,2,2,eup,light,polyculture,5
no,dispersal,2,2,pau,dark,monoculture,78
no,dispersal,2,2,pau,dark,polyculture,4
no,dispersal,2,2,pau,light,monoculture,6
no,dispersal,2,2,pau,light,polyculture,13
no,dispersal,2,2,rot,dark,monoculture,156
no,dispersal,2,2,rot,dark,polyculture,1
no,dispersal,2,2,rot,light,monoculture,129
no,dispersal,2,2,rot,light,polyculture,14
no,dispersal,2,2,spi,dark,monoculture,83
no,dispersal,2,2,spi,dark,polyculture,0
no,dispersal,2,2,spi,light,monoculture,1
no,dispersal,2,2,spi,light,polyculture,1
no,dispersal,2,2,tet,dark,monoculture,314
no,dispersal,2,2,tet,dark,polyculture,7
no,dispersal,2,2,tet,light,monoculture,200
no,dispersal,2,2,tet,light,polyculture,13
no,dispersal,2,3,col,dark,monoculture,76
no,dispersal,2,3,col,dark,polyculture,56
no,dispersal,2,3,col,light,monoculture,26
no,dispersal,2,3,col,light,polyculture,35
no,dispersal,2,3,eug,dark,monoculture,296
no,dispersal,2,3,eug,dark,polyculture,18
no,dispersal,2,3,eug,light,monoculture,3443
no,dispersal,2,3,eug,light,polyculture,57
no,dispersal,2,3,eup,dark,monoculture,59
no,dispersal,2,3,eup,dark,polyculture,4
no,dispersal,2,3,eup,light,monoculture,91
no,dispersal,2,3,eup,light,polyculture,0
no,dispersal,2,3,pau,dark,monoculture,26
no,dispersal,2,3,pau,dark,polyculture,2
no,dispersal,2,3,pau,light,monoculture,32
no,dispersal,2,3,pau,light,polyculture,0
no,dispersal,2,3,rot,dark,monoculture,13
no,dispersal,2,3,rot,dark,polyculture,4
no,dispersal,2,3,rot,light,monoculture,226
no,dispersal,2,3,rot,light,polyculture,1
no,dispersal,2,3,spi,dark,monoculture,24
no,dispersal,2,3,spi,dark,polyculture,2
no,dispersal,2,3,spi,light,monoculture,19
no,dispersal,2,3,spi,light,polyculture,0
no,dispersal,2,3,tet,dark,monoculture,115
no,dispersal,2,3,tet,dark,polyculture,9
no,dispersal,2,3,tet,light,monoculture,157
no,dispersal,2,3,tet,light,polyculture,1
no,dispersal,2,4,col,dark,monoculture,358
no,dispersal,2,4,col,dark,polyculture,41
no,dispersal,2,4,col,light,monoculture,6
no,dispersal,2,4,col,light,polyculture,17
no,dispersal,2,4,eug,dark,monoculture,197
no,dispersal,2,4,eug,dark,polyculture,0
no,dispersal,2,4,eug,light,monoculture,4027
no,dispersal,2,4,eug,light,polyculture,80
no,dispersal,2,4,eup,dark,monoculture,45
no,dispersal,2,4,eup,dark,polyculture,2
no,dispersal,2,4,eup,light,monoculture,76
no,dispersal,2,4,eup,light,polyculture,0
no,dispersal,2,4,pau,dark,monoculture,6
no,dispersal,2,4,pau,dark,polyculture,2
no,dispersal,2,4,pau,light,monoculture,4
no,dispersal,2,4,pau,light,polyculture,0
no,dispersal,2,4,rot,dark,monoculture,92
no,dispersal,2,4,rot,dark,polyculture,0
no,dispersal,2,4,rot,light,monoculture,83
no,dispersal,2,4,rot,light,polyculture,3
no,dispersal,2,4,spi,dark,monoculture,90
no,dispersal,2,4,spi,dark,polyculture,1
no,dispersal,2,4,spi,light,monoculture,17
no,dispersal,2,4,spi,light,polyculture,0
no,dispersal,2,4,tet,dark,monoculture,491
no,dispersal,2,4,tet,dark,polyculture,9
no,dispersal,2,4,tet,light,monoculture,18
no,dispersal,2,4,tet,light,polyculture,0
no,dispersal,3,1,col,dark,monoculture,3
no,dispersal,3,1,col,dark,polyculture,33
no,dispersal,3,1,col,light,monoculture,69
no,dispersal,3,1,col,light,polyculture,49
no,dispersal,3,1,eug,dark,monoculture,117
no,dispersal,3,1,eug,dark,polyculture,9
no,dispersal,3,1,eug,light,monoculture,6281
no,dispersal,3,1,eug,light,polyculture,232
no,dispersal,3,1,eup,dark,monoculture,35
no,dispersal,3,1,eup,dark,polyculture,0
no,dispersal,3,1,eup,light,monoculture,36
no,dispersal,3,1,eup,light,polyculture,0
no,dispersal,3,1,pau,dark,monoculture,119
no,dispersal,3,1,pau,dark,polyculture,11
no,dispersal,3,1,pau,light,monoculture,18
no,dispersal,3,1,pau,light,polyculture,1
no,dispersal,3,1,rot,dark,monoculture,163
no,dispersal,3,1,rot,dark,polyculture,43
no,dispersal,3,1,rot,light,monoculture,168
no,dispersal,3,1,rot,light,polyculture,60
no,dispersal,3,1,spi,dark,monoculture,8
no,dispersal,3,1,spi,dark,polyculture,8
no,dispersal,3,1,spi,light,monoculture,40
no,dispersal,3,1,spi,light,polyculture,8
no,dispersal,3,1,tet,dark,monoculture,167
no,dispersal,3,1,tet,dark,polyculture,39
no,dispersal,3,1,tet,light,monoculture,573
no,dispersal,3,1,tet,light,polyculture,77
no,dispersal,3,2,col,dark,monoculture,68
no,dispersal,3,2,col,dark,polyculture,78
no,dispersal,3,2,col,light,monoculture,21
no,dispersal,3,2,col,light,polyculture,56
no,dispersal,3,2,eug,dark,monoculture,196
no,dispersal,3,2,eug,dark,polyculture,5
no,dispersal,3,2,eug,light,monoculture,3054
no,dispersal,3,2,eug,light,polyculture,36
no,dispersal,3,2,eup,dark,monoculture,23
no,dispersal,3,2,eup,dark,polyculture,1
no,dispersal,3,2,eup,light,monoculture,121
no,dispersal,3,2,eup,light,polyculture,8
no,dispersal,3,2,pau,dark,monoculture,174
no,dispersal,3,2,pau,dark,polyculture,0
no,dispersal,3,2,pau,light,monoculture,22
no,dispersal,3,2,pau,light,polyculture,41
no,dispersal,3,2,rot,dark,monoculture,40
no,dispersal,3,2,rot,dark,polyculture,4
no,dispersal,3,2,rot,light,monoculture,14
no,dispersal,3,2,rot,light,polyculture,0
no,dispersal,3,2,spi,dark,monoculture,43
no,dispersal,3,2,spi,dark,polyculture,0
no,dispersal,3,2,spi,light,monoculture,39
no,dispersal,3,2,spi,light,polyculture,3
no,dispersal,3,2,tet,dark,monoculture,187
no,dispersal,3,2,tet,dark,polyculture,1
no,dispersal,3,2,tet,light,monoculture,102
no,dispersal,3,2,tet,light,polyculture,13
no,dispersal,3,3,col,dark,monoculture,141
no,dispersal,3,3,col,dark,polyculture,51
no,dispersal,3,3,col,light,monoculture,73
no,dispersal,3,3,col,light,polyculture,22
no,dispersal,3,3,eug,dark,monoculture,71
no,dispersal,3,3,eug,dark,polyculture,18
no,dispersal,3,3,eug,light,monoculture,10802
no,dispersal,3,3,eug,light,polyculture,15
no,dispersal,3,3,eup,dark,monoculture,49
no,dispersal,3,3,eup,dark,polyculture,10
no,dispersal,3,3,eup,light,monoculture,260
no,dispersal,3,3,eup,light,polyculture,0
no,dispersal,3,3,pau,dark,monoculture,12
no,dispersal,3,3,pau,dark,polyculture,10
no,dispersal,3,3,pau,light,monoculture,6
no,dispersal,3,3,pau,light,polyculture,2
no,dispersal,3,3,rot,dark,monoculture,22
no,dispersal,3,3,rot,dark,polyculture,0
no,dispersal,3,3,rot,light,monoculture,102
no,dispersal,3,3,rot,light,polyculture,0
no,dispersal,3,3,spi,dark,monoculture,60
no,dispersal,3,3,spi,dark,polyculture,1
no,dispersal,3,3,spi,light,monoculture,22
no,dispersal,3,3,spi,light,polyculture,1
no,dispersal,3,3,tet,dark,monoculture,102
no,dispersal,3,3,tet,dark,polyculture,7
no,dispersal,3,3,tet,light,monoculture,44
no,dispersal,3,3,tet,light,polyculture,0
no,dispersal,3,4,col,dark,monoculture,126
no,dispersal,3,4,col,dark,polyculture,44
no,dispersal,3,4,col,light,monoculture,68
no,dispersal,3,4,col,light,polyculture,34
no,dispersal,3,4,eug,dark,monoculture,352
no,dispersal,3,4,eug,dark,polyculture,0
no,dispersal,3,4,eug,light,monoculture,14489
no,dispersal,3,4,eug,light,polyculture,125
no,dispersal,3,4,eup,dark,monoculture,49
no,dispersal,3,4,eup,dark,polyculture,15
no,dispersal,3,4,eup,light,monoculture,114
no,dispersal,3,4,eup,light,polyculture,2
no,dispersal,3,4,pau,dark,monoculture,24
no,dispersal,3,4,pau,dark,polyculture,0
no,dispersal,3,4,pau,light,monoculture,18
no,dispersal,3,4,pau,light,polyculture,1
no,dispersal,3,4,rot,dark,monoculture,139
no,dispersal,3,4,rot,dark,polyculture,1
no,dispersal,3,4,rot,light,monoculture,178
no,dispersal,3,4,rot,light,polyculture,4
no,dispersal,3,4,spi,dark,monoculture,70
no,dispersal,3,4,spi,dark,polyculture,0
no,dispersal,3,4,spi,light,monoculture,27
no,dispersal,3,4,spi,light,polyculture,0
no,dispersal,3,4,tet,dark,monoculture,307
no,dispersal,3,4,tet,dark,polyculture,6
no,dispersal,3,4,tet,light,monoculture,120
no,dispersal,3,4,tet,light,polyculture,6
no,dispersal,4,1,col,dark,polyculture,68
no,dispersal,4,1,col,light,polyculture,14
no,dispersal,4,1,eug,dark,polyculture,43
no,dispersal,4,1,eug,light,polyculture,106
no,dispersal,4,1,eup,dark,polyculture,1
no,dispersal,4,1,eup,light,polyculture,1
no,dispersal,4,1,pau,dark,polyculture,4
no,dispersal,4,1,pau,light,polyculture,6
no,dispersal,4,1,rot,dark,polyculture,37
no,dispersal,4,1,rot,light,polyculture,15
no,dispersal,4,1,spi,dark,polyculture,6
no,dispersal,4,1,spi,light,polyculture,3
no,dispersal,4,1,tet,dark,polyculture,28
no,dispersal,4,1,tet,light,polyculture,65
no,dispersal,4,2,col,dark,polyculture,116
no,dispersal,4,2,col,light,polyculture,43
no,dispersal,4,2,eug,dark,polyculture,22
no,dispersal,4,2,eug,light,polyculture,61
no,dispersal,4,2,eup,dark,polyculture,44
no,dispersal,4,2,eup,light,polyculture,4
no,dispersal,4,2,pau,dark,polyculture,25
no,dispersal,4,2,pau,light,polyculture,26
no,dispersal,4,2,rot,dark,polyculture,6
no,dispersal,4,2,rot,light,polyculture,10
no,dispersal,4,2,spi,dark,polyculture,1
no,dispersal,4,2,spi,light,polyculture,2
no,dispersal,4,2,tet,dark,polyculture,5
no,dispersal,4,2,tet,light,polyculture,10
no,dispersal,4,3,col,dark,polyculture,22
no,dispersal,4,3,col,light,polyculture,45
no,dispersal,4,3,eug,dark,polyculture,30
no,dispersal,4,3,eug,light,polyculture,112
no,dispersal,4,3,eup,dark,polyculture,11
no,dispersal,4,3,eup,light,polyculture,0
no,dispersal,4,3,pau,dark,polyculture,0
no,dispersal,4,3,pau,light,polyculture,5
no,dispersal,4,3,rot,dark,polyculture,2
no,dispersal,4,3,rot,light,polyculture,22
no,dispersal,4,3,spi,dark,polyculture,4
no,dispersal,4,3,spi,light,polyculture,1
no,dispersal,4,3,tet,dark,polyculture,3
no,dispersal,4,3,tet,light,polyculture,12
no,dispersal,4,4,col,dark,polyculture,31
no,dispersal,4,4,col,light,polyculture,112
no,dispersal,4,4,eug,dark,polyculture,1
no,dispersal,4,4,eug,light,polyculture,668
no,dispersal,4,4,eup,dark,polyculture,13
no,dispersal,4,4,eup,light,polyculture,13
no,dispersal,4,4,pau,dark,polyculture,0
no,dispersal,4,4,pau,light,polyculture,1
no,dispersal,4,4,rot,dark,polyculture,0
no,dispersal,4,4,rot,light,polyculture,14
no,dispersal,4,4,spi,dark,polyculture,0
no,dispersal,4,4,spi,light,polyculture,1
no,dispersal,4,4,tet,dark,polyculture,6
no,dispersal,4,4,tet,light,polyculture,9
no,dispersal,5,1,col,dark,polyculture,85
no,dispersal,5,1,col,light,polyculture,25
no,dispersal,5,1,eug,dark,polyculture,7
no,dispersal,5,1,eug,light,polyculture,125
no,dispersal,5,1,eup,dark,polyculture,3
no,dispersal,5,1,eup,light,polyculture,2
no,dispersal,5,1,pau,dark,polyculture,22
no,dispersal,5,1,pau,light,polyculture,2
no,dispersal,5,1,rot,dark,polyculture,27
no,dispersal,5,1,rot,light,polyculture,1
no,dispersal,5,1,spi,dark,polyculture,8
no,dispersal,5,1,spi,light,polyculture,0
no,dispersal,5,1,tet,dark,polyculture,15
no,dispersal,5,1,tet,light,polyculture,39
no,dispersal,5,2,col,dark,polyculture,70
no,dispersal,5,2,col,light,polyculture,36
no,dispersal,5,2,eug,dark,polyculture,7
no,dispersal,5,2,eug,light,polyculture,28
no,dispersal,5,2,eup,dark,polyculture,12
no,dispersal,5,2,eup,light,polyculture,1
no,dispersal,5,2,pau,dark,polyculture,23
no,dispersal,5,2,pau,light,polyculture,16
no,dispersal,5,2,rot,dark,polyculture,6
no,dispersal,5,2,rot,light,polyculture,4
no,dispersal,5,2,spi,dark,polyculture,3
no,dispersal,5,2,spi,light,polyculture,3
no,dispersal,5,2,tet,dark,polyculture,4
no,dispersal,5,2,tet,light,polyculture,3
no,dispersal,5,3,col,dark,polyculture,50
no,dispersal,5,3,col,light,polyculture,13
no,dispersal,5,3,eug,dark,polyculture,32
no,dispersal,5,3,eug,light,polyculture,15
no,dispersal,5,3,eup,dark,polyculture,22
no,dispersal,5,3,eup,light,polyculture,0
no,dispersal,5,3,pau,dark,polyculture,8
no,dispersal,5,3,pau,light,polyculture,8
no,dispersal,5,3,rot,dark,polyculture,3
no,dispersal,5,3,rot,light,polyculture,2
no,dispersal,5,3,spi,dark,polyculture,0
no,dispersal,5,3,spi,light,polyculture,0
no,dispersal,5,3,tet,dark,polyculture,4
no,dispersal,5,3,tet,light,polyculture,3
no,dispersal,5,4,col,dark,polyculture,21
no,dispersal,5,4,col,light,polyculture,21
no,dispersal,5,4,eug,dark,polyculture,3
no,dispersal,5,4,eug,light,polyculture,10
no,dispersal,5,4,eup,dark,polyculture,16
no,dispersal,5,4,eup,light,polyculture,0
no,dispersal,5,4,pau,dark,polyculture,8
no,dispersal,5,4,pau,light,polyculture,0
no,dispersal,5,4,rot,dark,polyculture,0
no,dispersal,5,4,rot,light,polyculture,1
no,dispersal,5,4,spi,dark,polyculture,1
no,dispersal,5,4,spi,light,polyculture,0
no,dispersal,5,4,tet,dark,polyculture,5
no,dispersal,5,4,tet,light,polyculture,0
no,dispersal,6,1,col,dark,polyculture,75
no,dispersal,6,1,col,light,polyculture,34
no,dispersal,6,1,eug,dark,polyculture,28
no,dispersal,6,1,eug,light,polyculture,256
no,dispersal,6,1,eup,dark,polyculture,5
no,dispersal,6,1,eup,light,polyculture,0
no,dispersal,6,1,pau,dark,polyculture,27
no,dispersal,6,1,pau,light,polyculture,3
no,dispersal,6,1,rot,dark,polyculture,41
no,dispersal,6,1,rot,light,polyculture,12
no,dispersal,6,1,spi,dark,polyculture,17
no,dispersal,6,1,spi,light,polyculture,3
no,dispersal,6,1,tet,dark,polyculture,62
no,dispersal,6,1,tet,light,polyculture,89
no,dispersal,6,2,col,dark,polyculture,40
no,dispersal,6,2,col,light,polyculture,19
no,dispersal,6,2,eug,dark,polyculture,5
no,dispersal,6,2,eug,light,polyculture,6
no,dispersal,6,2,eup,dark,polyculture,8
no,dispersal,6,2,eup,light,polyculture,5
no,dispersal,6,2,pau,dark,polyculture,28
no,dispersal,6,2,pau,light,polyculture,8
no,dispersal,6,2,rot,dark,polyculture,3
no,dispersal,6,2,rot,light,polyculture,0
no,dispersal,6,2,spi,dark,polyculture,1
no,dispersal,6,2,spi,light,polyculture,0
no,dispersal,6,2,tet,dark,polyculture,0
no,dispersal,6,2,tet,light,polyculture,2
no,dispersal,6,3,col,dark,polyculture,34
no,dispersal,6,3,col,light,polyculture,5
no,dispersal,6,3,eug,dark,polyculture,4
no,dispersal,6,3,eug,light,polyculture,2
no,dispersal,6,3,eup,dark,polyculture,6
no,dispersal,6,3,eup,light,polyculture,0
no,dispersal,6,3,pau,dark,polyculture,1
no,dispersal,6,3,pau,light,polyculture,1
no,dispersal,6,3,rot,dark,polyculture,0
no,dispersal,6,3,rot,light,polyculture,3
no,dispersal,6,3,spi,dark,polyculture,0
no,dispersal,6,3,spi,light,polyculture,0
no,dispersal,6,3,tet,dark,polyculture,1
no,dispersal,6,3,tet,light,polyculture,0
no,dispersal,6,4,col,dark,polyculture,58
no,dispersal,6,4,col,light,polyculture,61
no,dispersal,6,4,eug,dark,polyculture,2
no,dispersal,6,4,eug,light,polyculture,59
no,dispersal,6,4,eup,dark,polyculture,16
no,dispersal,6,4,eup,light,polyculture,0
no,dispersal,6,4,pau,dark,polyculture,3
no,dispersal,6,4,pau,light,polyculture,7
no,dispersal,6,4,rot,dark,polyculture,0
no,dispersal,6,4,rot,light,polyculture,1
no,dispersal,6,4,spi,dark,polyculture,0
no,dispersal,6,4,spi,light,polyculture,0
no,dispersal,6,4,tet,dark,polyculture,7
no,dispersal,6,4,tet,light,polyculture,3
yes,no dispersal,1,1,col,dark,monoculture,131
yes,no dispersal,1,1,col,dark,polyculture,72
yes,no dispersal,1,1,col,light,monoculture,1164
yes,no dispersal,1,1,col,light,polyculture,37
yes,no dispersal,1,1,eug,dark,monoculture,357
yes,no dispersal,1,1,eug,dark,polyculture,36
yes,no dispersal,1,1,eug,light,monoculture,4266
yes,no dispersal,1,1,eug,light,polyculture,103
yes,no dispersal,1,1,eup,dark,monoculture,21
